experiment_id,learner_code,task_code,generation_mode,status,final_outcome,attempts_count,started_at,completed_at
ff7bb376-21a5-4001-a934-5b641ddc16a7,CHILD-001,TASK-ENG-001,rule,completed,success,1,2026-09-16T18:03:23.596465,2026-09-16T18:03:23.670292
b15e8ce5-0efc-411a-aed4-07571a738786,CHILD-001,TASK-ENG-001,rule,completed,success,1,2026-09-16T18:04:15.527524,2026-09-16T18:04:15.564812
93f2c2cb-5144-4232-976b-35b891add344,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-16T18:05:14.832288,2026-09-16T18:05:14.926857
446751c0-75a9-4401-9a0c-114f8613f127,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-16T18:12:24.990485,2026-09-16T18:12:25.041238
40d1440f-2415-4b35-984a-3164a17bb507,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T13:44:18.083457,2026-09-17T13:44:18.148806
95a08420-6e0c-4f14-8504-48be70249ca8,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T13:46:29.335770,2026-09-17T13:46:29.419705
f3bc87ea-203a-478f-ba6c-f92fe6b4fcbd,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T13:49:54.699924,2026-09-17T13:49:54.778694
159a3830-1ced-4076-8cbe-97c5d5321b6e,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T13:53:04.522365,2026-09-17T13:53:04.593947
f39476f9-a435-40ff-8f0b-55b7ffccc2a2,CHILD-004,TASK-ENG-003,rule,active,,0,2026-09-17T14:04:40.079831,
c3de7838-05e6-439c-bb34-9963f8cbde25,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T14:12:22.839918,2026-09-17T14:12:22.899796
94f1f832-b65d-498e-a769-c4157664f810,CHILD-001,TASK-ENG-001,rule,completed,success,2,2026-09-17T14:24:08.969594,2026-09-17T14:24:09.042852
c1159e6e-8103-46f1-ac7f-55715bf70198,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:28:21.974628,
900d41df-7006-4b4b-98cb-75cb0c24f3f3,CHILD-001,TASK-ENG-002,rule,active,,0,2026-09-17T14:28:22.077776,
e768e711-0d8e-40c8-85ef-edb3eca6a4bd,CHILD-003,TASK-ENG-002,rule,active,,0,2026-09-17T14:28:40.636372,
51350e23-09ec-4387-b7fb-79c2ae10e1cb,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:28:40.707115,
4c06e457-6e89-4783-b13d-09a6aa175de3,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:29:06.538780,
efb7b888-299e-4e47-a976-829b88f4d672,CHILD-001,TASK-ENG-002,rule,active,,1,2026-09-17T14:29:06.578093,
d754efc0-2011-4ab3-b133-209a8b9652c9,CHILD-003,TASK-ENG-002,rule,active,,1,2026-09-17T14:29:10.946964,
a691cc4d-a8f0-4a4d-b740-8bd92d61053b,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:29:11.157713,
fec1b748-90f4-474c-a540-63941753d8dd,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:29:52.466152,
d900c224-3d0c-426a-aada-9c62dd2a0a33,CHILD-001,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:29:53.079117,2026-09-17T14:29:58.921106
40ccaa61-20d1-48f7-809e-db5c0f169f23,CHILD-003,TASK-ENG-002,rule,completed,success,2,2026-09-17T14:29:59.051561,2026-09-17T14:29:59.327150
9c6c837c-41e5-445f-bd91-504407889418,CHILD-001,TASK-ENG-001,rule,active,,0,2026-09-17T14:29:59.496352,
