layer,source_path,source_id,target_layer,target_id,disposition,migration_timestamp,notes
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-NAMING-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-NAMING-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: animal_naming"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-NAMING-002,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-NAMING-002,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: classroom_vocabulary"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-MATCH-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-MATCH-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: reading_vocabulary_matching"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-DEF-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-DEF-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: job_function_vocabulary"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-SYN-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-SYN-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: vocabulary_simplification"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-CAT-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-CAT-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: category_sorting"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-ODD-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-ODD-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: semantic_odd_one_out"
Adaptation Test Set,data/application_tasks/seed_tasks.json,VOC-ACT-001,adaptation_test_set/en/component3_local_samples,C3-EN-VOC-ACT-001,migrated,2026-09-23T14:12:11.113624,"Domain: vocabulary, Skill: action_verbs"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-ART-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-ART-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: indefinite_article_a_an"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-PREP-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-PREP-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: location_preposition"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-SVA-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-SVA-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: subject_verb_agreement"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-PRON-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-PRON-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: subject_pronoun_selection"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-PLUR-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-PLUR-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: regular_plural_s"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-TENSE-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-TENSE-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: regular_past_tense_ed"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-COMPL-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-COMPL-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: sentence_predicate_completion"
Adaptation Test Set,data/application_tasks/seed_tasks.json,GRAM-WORD-001,adaptation_test_set/en/component3_local_samples,C3-EN-GRAM-WORD-001,migrated,2026-09-23T14:12:11.113624,"Domain: grammar, Skill: word_order_svo"
Adaptation Test Set,data/application_tasks/seed_tasks.json,INST-ONE-001,adaptation_test_set/en/component3_local_samples,C3-EN-INST-ONE-001,migrated,2026-09-23T14:12:11.113624,"Domain: sentence_and_instruction, Skill: single_step_directive"
Adaptation Test Set,data/application_tasks/seed_tasks.json,INST-TWO-001,adaptation_test_set/en/component3_local_samples,C3-EN-INST-TWO-001,migrated,2026-09-23T14:12:11.113624,"Domain: sentence_and_instruction, Skill: two_step_instruction_following"
Adaptation Test Set,data/application_tasks/seed_tasks.json,INST-THREE-001,adaptation_test_set/en/component3_local_samples,C3-EN-INST-THREE-001,migrated,2026-09-23T14:12:11.113624,"Domain: sentence_and_instruction, Skill: three_step_instruction_following"
Adaptation Test Set,data/application_tasks/seed_tasks.json,INST-BEFORE-001,adaptation_test_set/en/component3_local_samples,C3-EN-INST-BEFORE-001,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: temporal_clause_before"
Adaptation Test Set,data/application_tasks/seed_tasks.json,INST-IFTHEN-001,adaptation_test_set/en/component3_local_samples,C3-EN-INST-IFTHEN-001,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: conditional_logic_if_then"
Adaptation Test Set,data/application_tasks/seed_tasks.json,SENT-REL-001,adaptation_test_set/en/component3_local_samples,C3-EN-SENT-REL-001,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: relative_clause_comprehension"
Adaptation Test Set,data/application_tasks/seed_tasks.json,SENT-PASS-001,adaptation_test_set/en/component3_local_samples,C3-EN-SENT-PASS-001,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: passive_voice_agent_identification"
Adaptation Test Set,data/application_tasks/seed_tasks.json,SENT-AR-001,adaptation_test_set/en/component3_local_samples,C3-EN-SENT-AR-001,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: complex_instruction_sorting"
Adaptation Test Set,data/application_tasks/seed_tasks.json,COMP-PASSAGE-001,adaptation_test_set/en/component3_local_samples,C3-EN-COMP-PASSAGE-001,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: passage_literal_comprehension"
Adaptation Test Set,data/application_tasks/seed_tasks.json,COMP-PASSAGE-002,adaptation_test_set/en/component3_local_samples,C3-EN-COMP-PASSAGE-002,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: passage_literal_comprehension"
Adaptation Test Set,data/application_tasks/seed_tasks.json,COMP-SEQ-001,adaptation_test_set/en/component3_local_samples,C3-EN-COMP-SEQ-001,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: narrative_event_sequencing"
Adaptation Test Set,data/application_tasks/seed_tasks.json,COMP-MAIN-001,adaptation_test_set/en/component3_local_samples,C3-EN-COMP-MAIN-001,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: main_idea_identification"
Adaptation Test Set,data/application_tasks/seed_tasks.json,COMP-YESNO-001,adaptation_test_set/en/component3_local_samples,C3-EN-COMP-YESNO-001,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: factual_yes_no_comprehension"
Adaptation Test Set,data/application_tasks/seed_tasks.json,COMP-WH-001,adaptation_test_set/en/component3_local_samples,C3-EN-COMP-WH-001,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: wh_question_answering"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-001,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-001,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: two_step_instruction_following"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-002,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-002,migrated,2026-09-23T14:12:11.114646,"Domain: vocabulary, Skill: animal_habitat_concept"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-003,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-003,migrated,2026-09-23T14:12:11.114646,"Domain: vocabulary, Skill: size_comparison"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-004,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-004,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: three_step_instruction_following"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-005,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-005,migrated,2026-09-23T14:12:11.114646,"Domain: vocabulary, Skill: color_adjectives"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-006,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-006,migrated,2026-09-23T14:12:11.114646,"Domain: grammar, Skill: location_preposition"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-007,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-007,migrated,2026-09-23T14:12:11.114646,"Domain: vocabulary, Skill: action_verbs"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-008,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-008,migrated,2026-09-23T14:12:11.114646,"Domain: comprehension, Skill: narrative_event_sequencing"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-009,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-009,migrated,2026-09-23T14:12:11.114646,"Domain: grammar, Skill: subject_pronoun_selection"
Adaptation Test Set,data/application_tasks/seed_tasks.json,TASK-ENG-010,adaptation_test_set/en/component3_local_samples,C3-EN-TASK-ENG-010,migrated,2026-09-23T14:12:11.114646,"Domain: sentence_and_instruction, Skill: two_step_instruction_following"
Adaptation Test Set,data/integration_fixtures/component1_inputs/CHILD-001.json,CHILD-001,adaptation_test_set/en/component1_samples,CHILD-001,migrated,2026-09-23T14:12:11.131659,Simulated Component 1 screening fixture
Adaptation Test Set,data/integration_fixtures/component1_inputs/CHILD-002.json,CHILD-002,adaptation_test_set/en/component1_samples,CHILD-002,migrated,2026-09-23T14:12:11.135700,Simulated Component 1 screening fixture
Adaptation Test Set,data/integration_fixtures/component1_inputs/CHILD-003.json,CHILD-003,adaptation_test_set/en/component1_samples,CHILD-003,migrated,2026-09-23T14:12:11.141516,Simulated Component 1 screening fixture
Adaptation Test Set,data/integration_fixtures/component1_inputs/CHILD-004.json,CHILD-004,adaptation_test_set/en/component1_samples,CHILD-004,migrated,2026-09-23T14:12:11.146724,Simulated Component 1 screening fixture
